# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: Mini Proj CAE version 2
# Creation date: 07/15/2026 16:01:49
# 
# 07/15/2026 16:01:49
# The parameters defined in the project are:
# ,P12 - LP-T [mm],P2 - LP-L [mm],P7 - LP-W [mm],P8 - UP-L [mm],P13 - UP-T [mm],P14 - UP-W [mm],P15 - Fillet [mm],P16 - Hole Radii [mm],P17 - Equivalent Stress Maximum [MPa],P18 - Total Deformation Maximum [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P12,P2,P7,P8,P13,P14,P15,P16,P17,P18
DP 0,20,100,50,100,20.000000000000004,50.000000000000007,3,10,34.074214032277,0.0488512243613569
# 
# 07/16/2026 09:30:04
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P12 - LP-T [mm],P2 - LP-L [mm],P7 - LP-W [mm],P8 - UP-L [mm],P13 - UP-T [mm],P14 - UP-W [mm],P15 - Fillet [mm],P16 - Hole Radii [mm],P17 - Equivalent Stress Maximum [MPa],P18 - Total Deformation Maximum [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P12,P2,P7,P8,P13,P14,P15,P16,P17,P18
DP 1,20,120,50,100,20.000000000000004,50.000000000000007,3,10,32.699095931463376,0.048853424748849787
DP 2,25,100,50,100,20.000000000000004,50.000000000000007,3,10,25.345935313838019,0.027808675385593645
DP 3,20,100,50,100,20.000000000000004,50.000000000000007,6,10,32.578056981856356,0.047192447641455415
DP 4,20,80,50,100,20.000000000000004,50.000000000000007,2,10,36.273292975999595,0.0493598619488764
DP 5,20,100,50,100,20.000000000000004,50.000000000000007,3,8,41.1376173113334,0.051094822974260046
DP 6,20,100,50,120,20.000000000000004,50.000000000000007,3,10,32.446134499782211,0.059155897323453249
DP 7,20,100,50,100,25,50.000000000000007,3,10,32.751683354934251,0.040670309082008409
DP 8,22,85,50,110,23,50,3,9,30.256372195053675,0.038048245830079847
DP 9,24,120,50,105,21,50.000000000000007,5,10,23.425941819429877,0.030119716169080289
DP 10,24,95,50,105,21,50.000000000000007,5,8,24.739335680554916,0.031444149004438669
DP 11,21,110,50,102,24,50.000000000000007,4,8,33.47851721881765,0.039108775146686904
DP 12,23,88,50,115,22,50.000000000000007,2,10,28.720744999718338,0.036567649684326249
DP 13,20,100,50,108,25,50.000000000000007,3,8,34.672698916114072,0.04627437552502827
DP 14,22,118,50,120,20.000000000000004,50.000000000000007,5,9,25.702586232422707,0.046452737602684889
DP 15,25,90,50,112,23,50,6,9,21.703524863471024,0.026783363669712835
DP 16,21,105,50,100,24,50.000000000000007,4,8,34.296388024353206,0.038350004592023257
DP 17,24,115,50,117,22,50.000000000000007,2,9,28.130926744238142,0.034124226028919305
DP 18,23,82,50,104,25,50.000000000000007,3,10,24.702581549036569,0.028952573104552012
DP 19,20,108,50,119,21,50.000000000000007,6,8,34.105860702326268,0.056746491099149032
DP 20,22,97,50,111,23,50.000000000000007,5,9,26.74002967863213,0.0375604130979395
DP 21,25,112,50,106,24,50.000000000000007,4,10,20.991733772235182,0.024270341505958627
DP 22,21,86,50,113,20.000000000000004,50.000000000000007,2,8,35.029721710659423,0.051731424409163916
DP 23,23,119,50,101,22,50.000000000000007,6,9,26.08300291121272,0.031158633610983106
DP 24,24,93,50,116,25,50.000000000000007,3,10,23.467315850031447,0.028912694388652543
DP 25,20,107,50,109,21,50.000000000000007,5,8,32.564384247458932,0.052441796584767386
DP 26,22,99,50,114,24,50.000000000000007,4,9,27.70634765697541,0.037619741743826783
DP 27,25,104,50,103,23,50.000000000000007,2,10,25.249612265213582,0.025093659232896238
DP 64,20,103,50,112,22,50,4,10,30.910862277263494,0.050010528009063082
DP 65,23,95,50,100,21,50,6,10,23.24843083330639,0.031480059724480342
DP 66,20,118,50,109,21,50,6,8,36.385041015181265,0.051851064165212526
DP 67,23,84,50,117,20,50,5,10,26.5284947067267,0.039662962398512129
DP 68,25,101,50,100,23,50,4,10,20.713185876843276,0.023783652321611021
DP 69,25,100,50,115,22,50,5,8,23.361688145300295,0.029810526916989953
DP 70,23,120,50,114,22,50,4,9,25.838657251433442,0.036219069786430587
DP 71,23,114,50,107,23,50,4,8,25.97038077561162,0.0333234576728064
DP 72,23,105,50,103,20,50,5,9,25.229488186703623,0.0352463331166521
DP 73,21,104,50,103,25,50,3,10,29.124565783241767,0.036659645951293972
DP 74,21,84,50,113,22,50,5,8,33.361323835999777,0.046055428875021134
DP 75,23,106,50,106,24,50,6,10,24.67619549093099,0.029571219481347447
DP 76,21,120,50,102,23,50,6,9,28.371124624365898,0.038556869008690563
DP 77,24,86,50,107,21,50,3,9,25.415588311617363,0.0321511937086395
DP 78,24,97,50,111,22,50,5,10,23.367115778857247,0.030507769945824086
DP 79,20,103,50,101,24,50,6,9,32.437218399338256,0.042112606846551083
DP 80,25,113,50,105,21,50,3,10,24.1429070211042,0.027831400011155069
